SampleID,Assession,Filename,StudyFirstAuthor,SeagrassSpecies,Location,Date,Tissue,Tissue,TissueLocation,Lat,Long,MetaType,CitationLink,CitationID
SRR15353280,SRR15353280,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.16016 S,115.67949 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353281,SRR15353281,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.3149 S,115.67949 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353282,SRR15353282,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.3149 S,115.67949 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353283,SRR15353283,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.3149 S,115.67949 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353284,SRR15353284,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.128974 S,115.734361 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353285,SRR15353285,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.128974 S,115.734361 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353286,SRR15353286,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.128974 S,115.734361 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353287,SRR15353287,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.187707 S,115.741547 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353288,SRR15353288,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.187707 S,115.741547 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353289,SRR15353289,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.16016 S,115.67949 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353290,SRR15353290,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.187707 S,115.741547 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353291,SRR15353291,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.1723 S,115.7704 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353292,SRR15353292,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.1723 S,115.7704 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353293,SRR15353293,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.1723 S,115.7704 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353294,SRR15353294,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.181691 S,115.761395 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353295,SRR15353295,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.16016 S,115.67949 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
