Genome,ClstrComp,VC.Status,Phylum,Class,Order,Family,Genus,VC
Rubio_Protillo_k141_2179672,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1120_0
Rubio_Protillo_k141_2205208,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1857_0
Rubio_Protillo_k141_2223948,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1039_0
Rubio_Protillo_k141_222632,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1762_0
Rubio_Protillo_k141_222802,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,995_0
Rubio_Protillo_k141_2270932,both,Clustered,Preplasmiviricota,Tectiliviricetes,Kalamavirales,Tectiviridae,Gammatectivirus,654_0
Rubio_Protillo_k141_2305976,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1047_0
Rubio_Protillo_k141_231213,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1859_0
Rubio_Protillo_k141_2314724,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1170_0
Rubio_Protillo_k141_2318470,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,513_0
Rubio_Protillo_k141_2335839,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Rubio_Protillo_k141_2338648,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1762_0
Rubio_Protillo_k141_2356988,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1763_0
Rubio_Protillo_k141_2374752,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1860_0
Rubio_Protillo_k141_2374854,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1453_0
Rubio_Protillo_k141_2384311,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,938_0
Rubio_Protillo_k141_2391772,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1072_0
Rubio_Protillo_k141_2395399,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1516_0
Rubio_Protillo_k141_240357,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1103_0
Rubio_Protillo_k141_2448648,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,974_0
Rubio_Protillo_k141_2451523,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1169_0
Rubio_Protillo_k141_2460014,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,336_0
Rubio_Protillo_k141_2460448,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,987_0
Rubio_Protillo_k141_2466884,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,974_0
Rubio_Protillo_k141_250817,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,365_0
Rubio_Protillo_k141_2546344,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1798_0
Rubio_Protillo_k141_2575954,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1861_0
Rubio_Protillo_k141_2577218,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,924_0
Rubio_Protillo_k141_2584028,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,844_0
Rubio_Protillo_k141_2594959,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1862_0
Rubio_Protillo_k141_260244,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1118_0
Rubio_Protillo_k141_2614248,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1863_0
Rubio_Protillo_k141_2640313,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1864_0
Rubio_Protillo_k141_2644060,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,515_0
Rubio_Protillo_k141_2653662,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1850_0
Rubio_Protillo_k141_2662043,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,963_0
Rubio_Protillo_k141_2673345,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,924_0
Rubio_Protillo_k141_2683968,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1865_0
Rubio_Protillo_k141_2704885,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1016_0
Rubio_Protillo_k141_2736859,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1111_0
Rubio_Protillo_k141_2788285,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1866_0
Rubio_Protillo_k141_2791074,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,833_0
Rubio_Protillo_k141_2862733,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1867_0
Rubio_Protillo_k141_2870753,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1868_0
Rubio_Protillo_k141_287142,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1183_0
Rubio_Protillo_k141_2883289,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Rubio_Protillo_k141_2915769,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,974_0
Rubio_Protillo_k141_2919807,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,974_0
Rubio_Protillo_k141_2920545,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1049_0
Rubio_Protillo_k141_2933152,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1863_0
Rubio_Protillo_k141_2955961,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1030_0
Rubio_Protillo_k141_2973221,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1865_0
Rubio_Protillo_k141_2993927,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,173_0
Rubio_Protillo_k141_2998503,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,97_0
Rubio_Protillo_k141_3002101,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1870_0
Rubio_Protillo_k141_310341,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1089_0
Rubio_Protillo_k141_3108465,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1094_0
Rubio_Protillo_k141_3120684,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1278_0
Rubio_Protillo_k141_3132317,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,773_0
Rubio_Protillo_k141_314768,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,960_0
Rubio_Protillo_k141_3150099,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1102_0
Rubio_Protillo_k141_3152636,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,516_0
Rubio_Protillo_k141_3181746,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1131_0
Rubio_Protillo_k141_3208187,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1101_0
Rubio_Protillo_k141_3213644,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,955_0
Rubio_Protillo_k141_3220516,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,536_0
Rubio_Protillo_k141_3237023,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1764_0
Rubio_Protillo_k141_3243786,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1872_0
Rubio_Protillo_k141_3246627,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1873_0
Rubio_Protillo_k141_3270252,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,925_0
Rubio_Protillo_k141_3275580,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,321_0
Rubio_Protillo_k141_3300769,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1329_0
Rubio_Protillo_k141_3358413,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1169_0
Rubio_Protillo_k141_3447774,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1762_0
Rubio_Protillo_k141_3467955,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,362_0
Rubio_Protillo_k141_3509576,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1760_0
Rubio_Protillo_k141_3556958,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,20_0
Rubio_Protillo_k141_3557151,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1028_0
Rubio_Protillo_k141_3574377,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1863_0
Rubio_Protillo_k141_3578995,NA,Clustered/Singleton,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1013_0
Rubio_Protillo_k141_3673091,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1451_0
Rubio_Protillo_k141_3684011,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,172_0
Rubio_Protillo_k141_3687937,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,936_0
Rubio_Protillo_k141_3695872,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Rubio_Protillo_k141_3706791,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1762_0
Rubio_Protillo_k141_3716447,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1875_0
Rubio_Protillo_k141_3718883,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,684_0
Rubio_Protillo_k141_3720554,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1876_0
Rubio_Protillo_k141_372340,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,844_0
Rubio_Protillo_k141_3739156,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1006_0
Rubio_Protillo_k141_3746397,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1762_0
Rubio_Protillo_k141_3756226,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1877_0
Rubio_Protillo_k141_3756811,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1512_0
Rubio_Protillo_k141_3780438,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1861_0
Rubio_Protillo_k141_3789731,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,516_0
Rubio_Protillo_k141_3840272,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1066_0
Rubio_Protillo_k141_3845378,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1030_0
Rubio_Protillo_k141_3849926,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1875_0
Rubio_Protillo_k141_3899486,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,173_0
Rubio_Protillo_k141_3909155,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,922_0
Rubio_Protillo_k141_3929607,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,941_0
Rubio_Protillo_k141_3937046,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1762_0
Rubio_Protillo_k141_3997687,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1169_0
Rubio_Protillo_k141_4019112,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1816_0
Rubio_Protillo_k141_4044719,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,173_0
Rubio_Protillo_k141_4057858,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,995_0
Rubio_Protillo_k141_4076724,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1526_0
Rubio_Protillo_k141_4139509,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Rubio_Protillo_k141_4177691,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,888_0
Rubio_Protillo_k141_418855,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1864_0
Rubio_Protillo_k141_4272600,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,995_0
Rubio_Protillo_k141_4289628,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1880_0
Rubio_Protillo_k141_4291584,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1089_0
Rubio_Protillo_k141_4295320,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,172_0
Rubio_Protillo_k141_4315540,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Rubio_Protillo_k141_4357896,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1881_0
Rubio_Protillo_k141_4376660,both,Clustered,Uroviricota,Caudoviricetes,Crassvirales,Steigviridae,Akihdevirus,804_0
Rubio_Protillo_k141_4394538,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Rubio_Protillo_k141_4413815,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1018_0
Rubio_Protillo_k141_44604,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1069_0
Rubio_Protillo_k141_446587,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,981_0
Rubio_Protillo_k141_4486668,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1183_0
Rubio_Protillo_k141_4493419,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1146_0
Rubio_Protillo_k141_4561041,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1764_0
Rubio_Protillo_k141_4566852,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1762_0
Rubio_Protillo_k141_4580096,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1142_0
Rubio_Protillo_k141_4586802,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1016_0
Rubio_Protillo_k141_4607051,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1038_0
Rubio_Protillo_k141_4638906,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1882_0
Rubio_Protillo_k141_4643720,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1278_0
Rubio_Protillo_k141_4725627,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1883_0
Rubio_Protillo_k141_4733793,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,470_0
Rubio_Protillo_k141_4762938,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1873_0
Rubio_Protillo_k141_4770663,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1126_0
Rubio_Protillo_k141_4790834,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1309_0
Rubio_Protillo_k141_4823998,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,921_0
Rubio_Protillo_k141_4842861,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,172_0
Rubio_Protillo_k141_4851607,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1021_0
Rubio_Protillo_k141_4874535,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1114_0
Rubio_Protillo_k141_4875409,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,888_0
Rubio_Protillo_k141_4883816,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1452_0
Rubio_Protillo_k141_4886613,both,Clustered,Uroviricota,Caudoviricetes,Unassigned,Winoviridae,Peternellavirus,716_0
Rubio_Protillo_k141_4889339,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1866_0
Rubio_Protillo_k141_4897812,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1075_0
Rubio_Protillo_k141_4913997,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1884_0
Rubio_Protillo_k141_4914177,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1072_0
Rubio_Protillo_k141_4950615,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,938_0
Rubio_Protillo_k141_4952299,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Rubio_Protillo_k141_4967734,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1309_0
Rubio_Protillo_k141_5014266,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1081_0
Rubio_Protillo_k141_5035123,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1032_0
Rubio_Protillo_k141_5038004,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,363_0
Rubio_Protillo_k141_5065204,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,515_0
Rubio_Protillo_k141_5138988,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1066_0
Rubio_Protillo_k141_5141748,both,Clustered,Uroviricota,Caudoviricetes,Unassigned,Winoviridae,Peternellavirus,716_0
Rubio_Protillo_k141_5154182,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1069_0
Rubio_Protillo_k141_5174160,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,807_0
Rubio_Protillo_k141_5175710,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1880_0
Rubio_Protillo_k141_5212308,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,933_0
Rubio_Protillo_k141_5217102,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,941_0
Rubio_Protillo_k141_5231630,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1864_0
Rubio_Protillo_k141_5243001,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1853_0
Rubio_Protillo_k141_5268850,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1066_0
Rubio_Protillo_k141_5314381,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1885_0
Rubio_Protillo_k141_5360535,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,321_0
Rubio_Protillo_k141_5450440,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,684_0
Rubio_Protillo_k141_5455078,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1886_0
Rubio_Protillo_k141_5498755,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1887_0
Rubio_Protillo_k141_5504622,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1871_0
Rubio_Protillo_k141_5522040,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,968_0
Rubio_Protillo_k141_5606152,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,992_0
Rubio_Protillo_k141_5621213,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1183_0
Rubio_Protillo_k141_5642128,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,498_0
Rubio_Protillo_k141_5727888,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1006_0
Rubio_Protillo_k141_5739398,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1855_0
Rubio_Protillo_k141_575724,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,974_0
Rubio_Protillo_k141_5771490,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1526_0
Rubio_Protillo_k141_5772911,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,516_0
Rubio_Protillo_k141_57765,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1890_0
Rubio_Protillo_k141_58538,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1890_0
Rubio_Protillo_k141_587993,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1100_0
Rubio_Protillo_k141_5946639,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1016_0
Rubio_Protillo_k141_5965214,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1872_0
Rubio_Protillo_k141_597951,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1891_0
Rubio_Protillo_k141_6056376,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1892_0
Rubio_Protillo_k141_610200,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,975_0
Rubio_Protillo_k141_6128197,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1862_0
Rubio_Protillo_k141_6159642,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1892_0
Rubio_Protillo_k141_6170179,both,Clustered,Uroviricota,Caudoviricetes,Unassigned,Mesyanzhinovviridae,Keylargovirus,490_0
Rubio_Protillo_k141_6177780,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1762_0
Rubio_Protillo_k141_6189175,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,930_0
Rubio_Protillo_k141_6192539,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1088_0
Rubio_Protillo_k141_6262454,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1859_0
Rubio_Protillo_k141_6338241,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1854_0
Rubio_Protillo_k141_6341483,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,761_0
Rubio_Protillo_k141_634488,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,803_0
Rubio_Protillo_k141_635620,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,974_0
Rubio_Protillo_k141_637224,both,Clustered,Uroviricota,Caudoviricetes,Unassigned,Autographiviridae,Unclassified,507_0
Rubio_Protillo_k141_6376444,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,961_0
Rubio_Protillo_k141_6381508,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1762_0
Rubio_Protillo_k141_6385376,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,941_0
Rubio_Protillo_k141_6418459,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,974_0
Rubio_Protillo_k141_642693,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,26_0
Rubio_Protillo_k141_6437009,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1329_0
Rubio_Protillo_k141_6443682,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,336_0
Rubio_Protillo_k141_6473999,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1741_0
Rubio_Protillo_k141_6495461,both,Clustered,Uroviricota,Caudoviricetes,Unassigned,Winoviridae,Peternellavirus,716_0
Rubio_Protillo_k141_6498234,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,831_0
Rubio_Protillo_k141_6512246,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,998_0
Rubio_Protillo_k141_6516700,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1072_0
Rubio_Protillo_k141_6521575,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1093_0
Rubio_Protillo_k141_6560918,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1796_0
Rubio_Protillo_k141_6575161,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1088_0
Rubio_Protillo_k141_6586725,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,659_0
Rubio_Protillo_k141_6596311,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1893_0
Rubio_Protillo_k141_662134,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1149_0
Rubio_Protillo_k141_6670581,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1151_0
Rubio_Protillo_k141_6691813,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1885_0
Rubio_Protillo_k141_6717094,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1886_0
Rubio_Protillo_k141_6722754,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,924_0
Rubio_Protillo_k141_672595,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,449_0
Rubio_Protillo_k141_6763341,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1071_0
Rubio_Protillo_k141_6801649,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Rubio_Protillo_k141_6835187,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1149_0
Rubio_Protillo_k141_6847178,both,Clustered,Uroviricota,Caudoviricetes,Crassvirales,Steigviridae,Akihdevirus,804_0
Rubio_Protillo_k141_6847184,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1072_0
Rubio_Protillo_k141_6847186,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,941_0
Rubio_Protillo_k141_6847187,NA,Clustered/Singleton,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1226_1
Rubio_Protillo_k141_6847190,both,Clustered,Uroviricota,Caudoviricetes,Unassigned,Winoviridae,Pippivirus,1108_0
Rubio_Protillo_k141_6847203,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1094_0
Rubio_Protillo_k141_6847227,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1072_0
Rubio_Protillo_k141_6847233,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1803_0
Rubio_Protillo_k141_6847240,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,579_0
