Genome,ClstrComp,VC.Status,Phylum,Class,Order,Family,Genus,VC
Ettinger_c_000001320968,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,974_0
Ettinger_c_000001347707,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1048_0
Ettinger_c_000001361446,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,952_0
Ettinger_c_000001364723,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1049_0
Ettinger_c_000001373356,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000001377763,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,949_0
Ettinger_c_000001436577,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,931_0
Ettinger_c_000001450892,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1050_0
Ettinger_c_000001459538,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1027_0
Ettinger_c_000001491361,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,991_0
Ettinger_c_000001554881,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1052_0
Ettinger_c_000001574546,NA,Clustered/Singleton,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,953_0
Ettinger_c_000001578124,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,794_0
Ettinger_c_000001581803,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,922_0
Ettinger_c_000001593857,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,132_0
Ettinger_c_000001618046,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,176_0
Ettinger_c_000001640380,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,949_0
Ettinger_c_000001649145,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000001666552,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1001_0
Ettinger_c_000001677096,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,990_0
Ettinger_c_000001678367,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,515_0
Ettinger_c_000001691912,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,994_0
Ettinger_c_000001692375,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1006_0
Ettinger_c_000001699973,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1059_0
Ettinger_c_000001722804,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000001727243,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1006_0
Ettinger_c_000001742291,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1061_0
Ettinger_c_000001743182,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,664_0
Ettinger_c_000001746325,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1062_0
Ettinger_c_000001768041,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,968_0
Ettinger_c_000001787408,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1063_0
Ettinger_c_000001788670,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1064_0
Ettinger_c_000001790261,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1065_0
Ettinger_c_000001799225,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000001812975,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000001813335,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,263_0
Ettinger_c_000001831247,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,974_0
Ettinger_c_000001860385,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,933_0
Ettinger_c_000001872687,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,954_0
Ettinger_c_000001895351,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000001922815,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1066_0
Ettinger_c_000001953769,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1070_0
Ettinger_c_000001959273,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1071_0
Ettinger_c_000001975669,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,997_0
Ettinger_c_000001977285,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,933_0
Ettinger_c_000001984050,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,175_0
Ettinger_c_000001987066,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1022_0
Ettinger_c_000002005160,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000002014163,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000002027994,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,959_0
Ettinger_c_000002051851,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,991_0
Ettinger_c_000002062866,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1073_0
Ettinger_c_000002077076,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1004_0
Ettinger_c_000002080369,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,263_0
Ettinger_c_000002113992,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1075_0
Ettinger_c_000002119211,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1057_0
Ettinger_c_000002126830,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,968_0
Ettinger_c_000002131896,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1076_0
Ettinger_c_000002137851,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1076_0
Ettinger_c_000002140092,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1077_0
Ettinger_c_000002140485,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,960_0
Ettinger_c_000002148135,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,688_0
Ettinger_c_000002181255,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,954_0
Ettinger_c_000002188630,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1079_0
Ettinger_c_000002202080,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000002205716,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1080_0
Ettinger_c_000002222226,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,974_0
Ettinger_c_000002241029,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1081_0
