Contig	CE_108A	CE_109A	CE_140A	ERR3624084	ERR3624086	ERR3624088	ERR3624090	ERR3624092	ERR3624094	ERR3624096	ERR3624098	ERR3624100	ERR4579589	ERR4579590	ERR4579591	ERR4579592	ERR4579593	ERR4579594	ERR4579595	ERR4579596	ERR4579597	ERR6365269	ERR6365270	ERR6365271	ERR6365272	ERR6365273	SRR12681089	SRR15353278	SRR15353279	SRR15353280	SRR15353281	SRR15353282	SRR15353283	SRR15353284	SRR15353285	SRR15353286	SRR15353287	SRR15353288	SRR15353289	SRR15353290	SRR15353291	SRR15353292	SRR15353293	SRR15353294	SRR15353295	SRR17220965	SRR17220966	SRR17220967	SRR17220968	SRR17220969	SRR17220970	SRR17220971	SRR17220972	SRR17220977	SRR17220978	SRR17220979	SRR18245246	SRR18245247	SRR18245248	SRR18245251	SRR18245252	SRR18245253	SRR6310506	SRR6310507	SRR6310508	SRR6310509	SRR6350024	SRR6350025	SRR6876832	SRR6876833	SRR6876834	SRR6876835	SRR6876836	SRR6876837	SRR6876838	SRR6876839	SRR6876840	SRR6876841	SRR6876842	SRR6876843	SRR6876844	SRR6876845	SRR6876846	SRR6876847	SRR6876848	SRR6876849
Cucio_k119_666292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.537924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cucio_k119_871575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.764636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cucio_k119_889623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.23288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cucio_k119_944606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.540618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cucio_k119_97593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.512936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cucio_k119_981855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.096144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ettinger_c_000000002292	26.257996	11.631797	5.0119004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ettinger_c_000000008518	3.9491434	3.2906752	1.7935079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ettinger_c_000000009194	3.547189	2.5473578	5.0450783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ettinger_c_000000012432	2.5653095	0	7.4574428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ettinger_c_000000012667	6.1579003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
